AW,D,PD,MD,F,FM,ZN,DE,IN,O,VI,DI,LAB_CODE,TEST_RESULT_VALUE
0.0,0.692,0.0,0.0,0.025,0.0,1.859,4.078,0.225,0.0,9.2,6.467,EG,185.7
0.0,0.0,0.0,0.0,0.027,0.0,1.395,3.631,0.158,0.0,0.0,3.664,EG,383.3
0.0,0.0,0.0,0.0,0.026,0.0,1.319,3.45,0.145,0.0,0.0,3.91,EG,248.3
0.0,0.0,0.5,0.0,0.017,0.0,1.293,3.359,0.165,0.0,9.4,3.194,EG,278.8
0.0,0.0,0.3,0.0,0.015,0.05,0.86,3.028,0.2,0.0,7.2,2.65,SR,269.7
0.0,0.0,0.3,0.4,0.05,0.0,1.893,4.254,1.8,0.0,7.15,8.35,SR,496.5
0.0,0.0,0.3,0.4,0.05,0.0,1.893,4.254,1.8,0.0,6.55,8.35,SR,290.3
0.0,0.0,0.3,0.4,0.05,0.0,1.893,4.254,1.8,0.0,6.75,8.35,EG,278.9
0.0,0.442,0.2,0.0,0.022,0.0,1.126,2.71,0.133,0.0,6.8,2.82,EG,249.3
0.0,0.0,0.2,0.0,0.025,0.0,0.697,1.98,0.1,0.0,10,2.673,EG,432
0.0,0.0,0.2,0.0,0.025,0.0,0.697,1.98,0.1,0.0,10,2.673,EG,477.6
0.0,0.0,0.2,0.0,0.025,0.0,0.697,1.98,0.1,0.0,7,2.673,EG,424.2
0.0,0.0,0.2,0.0,0.025,0.0,0.697,2.442,0.1,0.0,10.12,2.673,EG,291.5
0.0,0.0,0.2,0.0,0.025,0.0,1.14,1.98,0.1,0.0,10.2,2.673,EG,407.1
0.0,0.0,0.3,0.0,0.025,0.0,1.121,3.902,0.167,0.0,9.85,2.764,EG,220.7
0.0,0.0,0.3,0.0,0.025,0.0,0.697,3.817,0.1,0.0,10.8,2.673,EG,364.8
0.0,0.0,0.3,0.0,0.025,0.0,1.545,3.114,0.15,0.0,12.9,5.3,EG,432.7
0.0,0.258,0.3,0.0,0.025,0.0,0.698,1.448,0.077,0.0,10.5,2.724,EG,419.5
0.0,0.0,0.0,0.0,0.025,0.0,1.313,3.473,0.196,0.3,0.0,7.845,LT,211.9
0.0,0.0,0.0,0.0,0.025,0.0,1.313,3.473,0.196,0.3,0.0,7.845,LT,247.2
0.0,0.0,0.0,0.0,0.025,0.0,1.313,3.473,0.196,0.3,0.0,7.845,LT,256.6
0.0,0.27,0.1,0.0,0.025,0.0,1.304,2.842,1.462,0.05,0.0,12.751,LT,280.9
0.0,0.0,0.0,0.0,0.025,0.0,0.815,2.358,1.397,0.0,5.28,8.85,LT,256
0.0,0.0,0.3,0.0,0.02,0.0,2.103,8.707,0.586,0.0,6,8.14,LT,325.2
0.0,0.0,0.0,0.0,0.05,0.0,1.371,44.132,0.5,0.0,0,4.5,LT,293
0.0,0.49,0.3,0.0,0.025,0.0,1.304,1.955,0.399,0.0,8.4,5.611,LT,360.2
0.0,0.0,0.3,0.0,0.02,0.0,2.089,8.707,0.586,0.0,6,8.14,LT,219.8
0.0,0.63,0.2,0.0,0.025,0.0,1.304,3.459,0.696,0.0,0.0,6.678,LT,281.5
0.0,0.0,0.2,0.0,0.025,0.0,0.815,3.459,0.196,0.0,0.0,4.274,LT,287.1
0.0,0.0,0.2,0.0,0.025,0.0,0.815,3.459,0.196,0.0,0.0,4.274,LT,466.9
0.0,0.49,0.3,0.0,0.025,0.0,1.304,1.955,0.391,0.0,8.4,5.611,LT,290.9
0.0,0.0,0.2,0.0,0.025,0.0,1.377,3.569,0.7,0.0,0.0,7,LT,320
0.0,0.0,0.2,0.0,0.025,0.0,1.377,3.569,0.7,0.0,0.0,7,LT,181.6
0.0,0.0,0.2,0.0,0.025,0.0,1.377,3.569,0.7,0.0,0.0,7,LT,203.7
0.0,0.0,0.0,0.0,0.05,0.0,1.362,5.689,0.5,0.0,0,4.6,LT,364
0.0,0.77,0.15,0.0,0.025,0.0,1.304,3.735,1.461,0.0,0.0,7.488,LT,330
0.0,0.0,0.0,0.0,0.025,0.0,1.304,3.459,0.688,0.0,7.4,7.488,LT,274
0.0,0.0,0.0,0.0,0.025,0.0,1.304,3.459,0.688,0.0,7.4,7.488,LT,334
0.0,0.0,0.0,0.0,0.025,0.0,1.304,3.459,0.688,0.0,7.4,7.488,LT,180.5
0.0,0.0,0.0,0.0,0.05,0.0,1.365,5.867,0.2,0.0,0,5.5,LT,227.5
0.0,0.0,0.0,0.0,0.05,0.0,1.365,5.867,0.2,0.0,0,5.5,LT,228.6
0.0,0.0,0.0,0.0,0.025,0.0,0.815,3.884,1.708,0.0,18,5.026,LT,335.5
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.058,0.2,0.0,0.0,7,LT,250.4
0.0,0.0,0.0,0.0,0.05,0.0,1.349,5.867,0.2,0.0,0.0,5.6,LT,897.2
0.0,0.63,0.2,0.0,0.025,0.0,1.467,3.459,0.688,0.0,0.0,6.399,LT,220.7
0.0,0.63,0.2,0.0,0.025,0.0,1.467,3.459,0.688,0.0,0.0,6.399,LT,193
0.0,0.0,0.0,0.0,0.05,0.0,1.362,5.749,0.2,0.0,0,8.8,LT,312.2
0.0,0.0,0.1,0.0,0.025,0.0,1.372,4.395,0.3,0.0,0.0,8,LT,1176.1
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,1.25,0.0,0.0,10,LT,311.3
0.0,0.0,0.0,0.0,0.05,0.0,1.339,5.867,0.2,0.0,0,6.5,LT,299.1
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.569,0.7,0.0,0.0,8,LT,287.6
0.0,0.352,0.0,0.0,0.025,0.0,1.377,3.851,1.25,0.0,9.7,10,EG,360.1
0.0,0.352,0.0,0.0,0.025,0.0,1.377,3.851,1.25,0.0,9.7,10,EG,265.8
0.0,0.352,0.0,0.0,0.025,0.0,1.377,3.851,1.25,0.0,9.7,10,EG,202.4
0.0,0.35,0.2,0.0,0.025,0.0,1.304,3.787,1.135,0.0,0.0,8.987,LT,230.1
0.0,0.35,0.2,0.0,0.025,0.0,1.304,3.787,1.135,0.0,0.0,8.987,LT,271.5
0.0,0.35,0.0,0.0,0.025,0.0,1.441,3.787,1.235,0.0,8.7,9.017,LT,248
0.0,0.0,0.0,0.0,0.025,0.0,1.441,3.525,0.688,0.0,0.0,7.389,LT,447.4
0.0,0.0,0.0,0.0,0.025,0.0,1.372,3.538,0.446,0.0,0.0,5.948,LT,236.4
0.0,0.0,0.0,0.0,0.025,0.0,1.441,3.352,0.699,0.0,7.6,7.389,LT,174.1
0.0,0.0,0.0,0.0,0.025,0.0,1.441,3.352,0.699,0.0,7.6,7.389,LT,211.2
0.0,0.74,0.15,0.0,0.025,0.0,1.441,3.614,1.426,0.0,11,8.248,LT,225
0.0,0.74,0.15,0.0,0.025,0.0,1.441,3.614,1.426,0.0,11,8.248,LT,280.5
0.0,0.74,0.15,0.0,0.025,0.0,1.441,3.614,1.426,0.0,0.0,8.248,LT,252.5
0.0,0.74,0.15,0.0,0.025,0.0,1.441,3.614,1.426,0.0,0.0,8.248,LT,238.8
0.0,0.0,0.0,0.0,0.025,0.0,1.441,3.193,0.199,0.3,0.0,7.411,LT,348.5
0.0,0.0,0.0,0.0,0.025,0.0,1.441,3.193,0.199,0.3,0.0,7.411,LT,254.7
0.0,0.74,0.15,0.0,0.025,0.0,1.345,3.614,1.426,0.0,11,8.019,LT,232.3
0.0,0.74,0.15,0.0,0.025,0.0,1.345,3.614,1.426,0.0,11,8.019,LT,204.6
0.0,0.74,0.15,0.0,0.025,0.0,1.345,3.614,1.426,0.0,11,8.019,LT,160.2
0.0,0.0,0.1,0.0,0.025,0.0,1.463,3.569,0.7,0.0,0.0,8,LT,211.1
0.0,0.0,0.1,0.0,0.025,0.0,1.463,3.569,0.7,0.0,0.0,8,LT,335.5
0.0,0.0,0.0,0.0,0.0,0.0,1.377,2.967,0.2,0,0.0,10,LT,263.1
0.0,0.0,0.3,0.0,0.04,0.0,1.378,4.604,0.736,0.0,6.5,7.205,LT,196.4
0.0,0.0,0.0,0.0,0.025,0.0,1.345,3.193,0.192,0.3,0.0,7.723,LT,229.3
0.0,0.0,0.0,0.0,0.025,0.0,1.345,3.193,0.192,0.3,0.0,7.723,LT,260.8
0.0,0.0,0.0,0.0,0.025,0.0,1.345,3.682,0.192,0.3,0.0,7.723,LT,272.4
0.0,0.0,0.0,0.0,0.025,0.0,1.345,3.682,0.192,0.3,0.0,7.723,LT,279.9
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,237.1
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,226.1
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,705.7
0.0,0.7,0.2,0.0,0.025,0.0,1.345,3.553,0.687,0.0,17.4,7.761,LT,458.7
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,257.8
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,359.8
0.0,0.5,0.05,0.0,0.025,0.0,0.815,3.856,0.395,0.0,0.0,4.402,LT,322.3
0.0,0.0,0.1,0.0,0.025,0.0,1.463,3.569,0.7,0.0,0.0,8.2,LT,310.4
0.0,0.0,0.05,0.0,0.025,0.0,1.379,3.942,0.0,0.0,0.0,6.078,LT,383.7
0.0,0.0,0.1,0.0,0.025,0.0,1.463,3.569,0.7,0.0,0.0,8,LT,223.4
0.0,0.0,0.1,0.0,0.05,0.0,1.492,3.64,0.714,0.0,0.0,8.16,LT,270.3
0.0,0.0,0.1,0.0,0.05,0.0,1.463,3.569,0.7,0.0,0.0,8,LT,256.4
0.0,0.5,0.05,0.0,0.025,0.0,0.815,3.856,0.403,0.0,0.0,4.452,LT,355
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,260.6
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,236.4
0.0,0.0,0.05,0.0,0.025,0.0,1.379,3.942,0.0,0.0,0.0,6.117,LT,344.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EG,198.8
0.0,0.7,0.2,0.0,0.025,0.0,1.304,3.593,0.726,0.0,17.4,7.859,LT,272.7
0.0,0.7,0.2,0.0,0.025,0.0,1.304,3.593,0.726,0.0,17.4,7.859,LT,312.5
0.0,0.0,0.0,0.0,0.005,0.0,1.377,3.957,0.2,0.0,16,6.2,LT,184.4
0.0,0.0,0.0,0.0,0.005,0.0,1.377,3.957,0.2,0.0,16,6.2,EG,178.1
0.0,0.7,0.2,0.0,0.025,0.0,1.269,3.678,0.852,0.0,17.4,7.8,LT,238.8
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,EG,240.4
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,EG,296.5
0.0,0.0,0.3,0.0,0.05,0.0,1.386,3.079,0.869,0.0,0.0,7.394,LT,381.7
0.0,0.0,0.0,0.0,0.025,0.0,0.815,3.799,1.757,0.0,8.8,5.389,LT,220.7
0.0,0.59,0.3,0.0,0.05,0.0,1.386,3.079,0.862,0.0,0.0,7.325,LT,710.9
0.0,0.59,0.3,0.0,0.05,0.0,1.386,3.079,0.862,0.0,0.0,7.325,EG,238.5
0.0,0.59,0.3,0.0,0.05,0.0,1.386,3.079,0.862,0.0,0.0,7.325,EG,346.2
0.0,0.59,0.3,0.0,0.05,0.0,1.386,3.079,0.862,0.0,6.8,7.325,LT,281
0.0,0.59,0.3,0.0,0.05,0.0,1.386,3.079,0.862,0.0,6.8,7.325,LT,278.7
0.0,0.0,0.2,0.0,0.025,0.0,0.86,4.002,1.7,0.0,10.5,5.5,LT,239.6
0.0,0.69,0.3,0.0,0.025,0.0,1.304,3.514,0.47,0.0,6.6,7.8,LT,178.7
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,10.4,8.3,LT,259.6
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,239.2
0.0,0.0,0.3,0.0,0.025,0.0,1.377,3.69,0.45,0.0,7,8,LT,240.7
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,259.4
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,0.0,8.3,LT,299.3
0.0,0.0,0.3,0.0,0.025,0.0,1.377,3.69,0.45,0.0,6.2,8,LT,253.5
0.0,0.0,0.3,0.0,0.02,0.0,1.778,5.898,0.468,0.0,0.0,5.096,LT,197.8
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,0.0,7.5,LT,326.6
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,8.1,7.5,LT,228.7
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,6.1,7.5,LT,249.9
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,5.9,7.5,LT,256.5
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,7.6,7.5,LT,333.2
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,7.6,7.5,LT,309.3
0.0,0.0,0.3,0.0,0.02,0.0,1.356,4.458,0.193,0.0,7,10.695,LT,196
0.0,0.0,0.3,0.0,0.02,0.0,1.356,4.458,0.193,0.0,0.0,10.695,LT,316.6
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,0.0,7.5,LT,211.9
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,0.0,7.5,LT,280.9
0.0,0.0,0.0,0.0,0.025,0.0,1.42,3.138,0.2,0.0,0.0,8,LT,274.4
0.0,0.0,0.15,0.0,0.005,0.0,0.847,3.43,0.188,0.0,0.0,4.841,LT,289.1
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,10.7,8.3,LT,198
0.0,0.0,0.0,0.0,0.025,0.0,1.269,3.387,0.692,0.0,0.0,7.8,LT,276.2
0.0,0.0,0.8,0.0,0.025,0.0,0.86,4.002,1.7,0.0,10.4,5.5,LT,267.9
0.0,0.0,0.0,0.0,0.025,0.0,0.86,4.002,1.7,0,0,5.5,LT,350.4
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,10.7,8.3,LT,284.8
0.0,0.0,0.0,0.0,0.01,0.0,1.285,3.61,0.157,0.0,8.9,6.805,LT,344.3
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.295,0.5,0.0,0.0,7,LT,245.3
0.0,0.6,0.3,0.0,0.019,0.0,0.952,3.971,0.353,0.0,7.1,5.849,LT,1241.3
0.0,0.6,0.3,0.0,0.019,0.0,0.952,3.971,0.353,0.0,7.1,5.849,LT,271.6
0.0,0.0,0.2,0.0,0.025,0.0,1.269,3.337,0.2,0.0,8.4,7.8,LT,200
0.0,0.0,0.15,0.0,0.025,0.0,1.377,3.851,0.95,0.0,11,8.3,LT,254.2
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.295,0.2,0.0,8.2,7,LT,162.8
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.295,0.2,0.0,8.2,7,LT,241.6
0.0,0.0,0.0,0.0,0.025,0.0,1.377,3.68,0.2,0.0,7.5,8,LT,237.6
